ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
22659,0.14,1.00,0.50,0.67,0.47,0.20,0.20,0.20,0.20,0.20,0.20,0.30,0.23,0.18,0.32,0.26,0.40,0.01,0.00,0.01,0.02,0.01,0.01
6618,0.17,0.00,0.33,0.67,0.28,0.10,0.10,0.20,0.20,0.20,0.10,0.15,0.11,0.10,0.19,0.10,0.27,0.05,0.00,0.01,0.02,0.03,0.21
26605,0.01,0.00,0.33,0.67,0.03,0.50,0.40,0.40,0.90,0.90,0.80,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
2504,0.17,0.00,0.33,0.67,0.16,0.10,0.10,0.10,0.10,0.10,0.10,0.15,0.10,0.09,0.16,0.08,0.26,0.03,0.00,0.00,0.00,0.00,0.00
1111,0.04,1.00,0.50,0.33,0.40,0.10,0.10,0.10,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
15716,0.04,0.00,0.33,0.67,0.40,0.20,0.20,0.20,0.20,0.20,0.20,0.16,0.08,0.11,0.17,0.09,0.27,0.00,0.00,0.00,0.00,0.00,0.00
15010,0.36,0.00,0.33,0.67,0.21,0.20,0.20,0.20,0.40,0.20,0.20,0.21,0.14,0.13,0.24,0.16,0.33,0.00,0.00,0.01,0.00,0.01,0.01
12642,0.24,1.00,0.33,0.67,0.16,0.20,0.20,0.20,0.20,0.20,0.10,0.19,0.10,0.11,0.18,0.10,0.27,0.02,0.01,0.01,0.02,0.02,0.00
1164,0.01,0.00,0.33,0.67,0.05,0.10,0.10,0.10,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
10374,0.19,1.00,0.33,0.67,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
14505,0.02,1.00,0.33,0.33,0.48,0.40,0.20,0.20,0.20,0.40,0.40,0.17,0.09,0.10,0.19,0.11,0.28,0.00,0.00,0.00,0.00,0.01,0.00
8116,0.12,0.00,0.33,0.67,0.36,0.20,0.20,0.20,0.00,0.00,0.00,0.26,0.19,0.09,0.16,0.08,0.26,0.01,0.00,0.00,0.00,0.00,0.00
29405,0.11,0.00,0.33,0.67,0.14,0.20,0.20,0.20,0.20,0.20,0.20,0.25,0.18,0.15,0.27,0.17,0.33,0.01,0.00,0.00,0.01,0.01,0.01
15882,0.04,1.00,0.33,0.67,0.03,0.20,0.20,0.20,0.20,0.20,0.20,0.16,0.08,0.09,0.17,0.09,0.27,0.00,0.00,0.00,0.00,0.00,0.00
15769,0.02,1.00,0.33,0.67,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
11705,0.01,0.00,0.33,0.67,0.07,0.40,0.40,0.50,0.50,0.50,0.50,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
29427,0.11,0.00,0.50,0.67,0.12,0.10,0.50,0.40,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.01
11909,0.34,1.00,0.50,0.33,0.29,0.00,0.00,0.10,0.20,0.20,0.20,0.15,0.07,0.09,0.17,0.09,0.27,0.00,0.00,0.01,0.01,0.00,0.00
4175,0.28,1.00,0.17,0.33,0.43,0.20,0.20,0.20,0.20,0.20,0.20,0.15,0.07,0.09,0.17,0.10,0.28,0.00,0.00,0.01,0.01,0.02,0.01
1773,0.04,0.00,0.33,0.67,0.07,0.40,0.40,0.20,0.20,0.20,0.40,0.15,0.07,0.09,0.17,0.09,0.27,0.00,0.00,0.00,0.00,0.00,0.00
26021,0.14,1.00,0.50,0.67,0.21,0.00,0.10,0.10,0.10,0.10,0.10,0.15,0.13,0.09,0.16,0.08,0.26,0.08,0.00,0.00,0.00,0.00,0.00
19734,0.14,1.00,0.17,0.67,0.33,0.00,0.10,0.10,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.01,0.01,0.00,0.00
16460,0.09,1.00,0.17,0.33,0.52,0.20,0.20,0.20,0.20,0.20,0.20,0.23,0.15,0.14,0.25,0.16,0.32,0.00,0.00,0.00,0.00,0.01,0.01
22801,0.22,1.00,0.17,0.67,0.21,0.20,0.20,0.20,0.20,0.20,0.20,0.16,0.08,0.09,0.17,0.09,0.27,0.00,0.00,0.00,0.00,0.00,0.00
5683,0.04,1.00,0.50,0.67,0.62,0.20,0.20,0.20,0.20,0.20,0.20,0.16,0.08,0.10,0.18,0.10,0.27,0.00,0.00,0.00,0.00,0.00,0.00
9978,0.19,0.00,0.50,0.67,0.43,0.10,0.10,0.10,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
26244,0.49,1.00,0.17,0.33,0.28,0.20,0.20,0.20,0.20,0.20,0.20,0.59,0.55,0.30,0.45,0.34,0.45,0.02,0.01,0.01,0.01,0.02,0.01
25085,0.04,0.00,0.33,0.33,0.48,0.20,0.20,0.20,0.20,0.20,0.20,0.19,0.11,0.10,0.19,0.10,0.27,0.00,0.00,0.00,0.00,0.00,0.00
9249,0.12,0.00,0.33,0.67,0.14,0.20,0.20,0.20,0.00,0.00,0.00,0.17,0.11,0.09,0.16,0.08,0.26,0.02,0.00,0.00,0.00,0.00,0.00
12578,0.49,0.00,0.17,0.33,0.60,0.10,0.10,0.10,0.10,0.10,0.10,0.17,0.16,0.10,0.21,0.12,0.29,0.11,0.02,0.06,0.06,0.08,0.04
13258,0.19,0.00,0.33,0.33,0.59,0.30,0.40,0.40,0.40,0.40,0.20,0.31,0.23,0.19,0.34,0.27,0.41,0.00,0.01,0.01,0.00,0.02,0.01
6735,0.08,1.00,0.17,0.67,0.03,0.10,0.10,0.10,0.20,0.20,0.20,0.15,0.07,0.09,0.17,0.09,0.26,0.00,0.00,0.01,0.00,0.00,0.01
8496,0.29,1.00,0.33,0.67,0.26,0.10,0.40,0.40,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
4405,0.35,0.00,0.33,0.67,0.12,0.10,0.10,0.10,0.10,0.10,0.10,0.16,0.07,0.09,0.17,0.09,0.27,0.01,0.01,0.01,0.01,0.03,0.04
5637,0.19,0.00,0.33,0.67,0.14,0.20,0.20,0.20,0.20,0.20,0.40,0.15,0.10,0.11,0.21,0.11,0.28,0.03,0.01,0.02,0.01,0.00,0.03
9135,0.23,0.00,0.33,0.33,0.57,0.20,0.20,0.40,0.20,0.20,0.20,0.16,0.30,0.22,0.35,0.28,0.41,0.27,0.00,0.01,0.01,0.02,0.02
6105,0.04,1.00,0.33,0.33,0.45,0.20,0.20,0.20,0.20,0.20,0.20,0.19,0.11,0.11,0.20,0.12,0.29,0.00,0.00,0.00,0.00,0.00,0.00
1144,0.09,1.00,0.33,0.33,0.24,0.40,0.20,0.20,0.40,0.40,0.20,0.23,0.16,0.14,0.25,0.18,0.33,0.01,0.00,0.00,0.00,0.01,0.01
26304,0.08,1.00,0.17,0.67,0.14,0.20,0.20,0.20,0.20,0.20,0.20,0.15,0.07,0.09,0.17,0.11,0.27,0.01,0.01,0.01,0.04,0.02,0.05
29733,0.29,0.00,0.33,0.33,0.28,0.00,0.00,0.10,0.10,0.20,0.20,0.15,0.09,0.09,0.19,0.11,0.28,0.01,0.00,0.04,0.00,0.03,0.01
20398,0.01,0.00,0.33,0.67,0.03,0.50,0.50,0.40,0.20,0.20,0.40,0.16,0.08,0.09,0.17,0.09,0.27,0.00,0.00,0.00,0.00,0.00,0.00
7477,0.16,0.00,0.33,0.67,0.17,0.10,0.10,0.10,0.10,0.20,0.10,0.15,0.07,0.09,0.17,0.08,0.26,0.00,0.00,0.01,0.00,0.01,0.01
17200,0.04,1.00,0.17,0.67,0.12,0.10,0.10,0.10,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.01
25861,0.14,1.00,0.33,0.33,0.24,0.20,0.20,0.20,0.20,0.20,0.20,0.34,0.25,0.19,0.34,0.26,0.39,0.01,0.00,0.00,0.01,0.01,0.00
25523,0.05,1.00,0.33,0.33,0.19,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.12,0.12,0.22,0.14,0.30,0.00,0.00,0.00,0.00,0.00,0.01
12959,0.14,1.00,0.50,0.33,0.07,0.20,0.20,0.20,0.20,0.20,0.20,0.17,0.09,0.10,0.18,0.10,0.27,0.00,0.00,0.01,0.00,0.00,0.08
4188,0.30,1.00,0.33,0.33,0.38,0.30,0.40,0.40,0.40,0.40,0.40,0.38,0.32,0.23,0.42,0.36,0.47,0.01,0.00,0.02,0.02,0.00,0.02
14176,0.05,1.00,0.50,0.33,0.40,0.40,0.20,0.20,0.20,0.20,0.20,0.18,0.09,0.10,0.19,0.11,0.28,0.00,0.00,0.00,0.00,0.00,0.00
23719,0.06,1.00,0.50,0.33,0.57,0.20,0.20,0.20,0.20,0.20,0.20,0.18,0.10,0.11,0.20,0.09,0.27,0.00,0.00,0.00,0.00,0.00,0.00
18331,0.04,1.00,0.50,0.33,0.43,0.20,0.20,0.20,0.20,0.40,0.20,0.16,0.08,0.10,0.18,0.09,0.27,0.00,0.00,0.00,0.00,0.00,0.00
9408,0.16,0.00,0.17,0.67,0.22,0.30,0.40,0.40,0.40,0.20,0.20,0.17,0.09,0.10,0.18,0.11,0.28,0.00,0.00,0.00,0.00,0.00,0.00
10886,0.11,1.00,0.50,0.33,0.45,0.20,0.20,0.20,0.20,0.20,0.20,0.16,0.08,0.10,0.18,0.10,0.27,0.00,0.00,0.00,0.00,0.00,0.00
12958,0.04,0.00,0.50,0.67,0.03,0.40,0.20,0.20,0.20,0.20,0.20,0.16,0.08,0.09,0.17,0.09,0.27,0.00,0.00,0.00,0.00,0.00,0.00
5386,0.04,1.00,0.50,0.33,0.40,0.30,0.10,0.10,0.10,0.10,0.10,0.15,0.09,0.10,0.17,0.09,0.26,0.03,0.02,0.01,0.01,0.00,0.02
6711,0.07,1.00,0.33,0.67,0.03,0.20,0.20,0.20,0.10,0.10,0.20,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
22529,0.20,1.00,0.17,0.33,0.33,0.30,0.40,0.40,0.40,0.20,0.20,0.21,0.12,0.13,0.21,0.11,0.27,0.00,0.01,0.00,0.00,0.00,0.00
20135,0.12,1.00,0.33,0.33,0.41,0.20,0.20,0.20,0.20,0.00,0.00,0.26,0.18,0.12,0.16,0.08,0.26,0.01,0.00,0.00,0.00,0.00,0.00
15622,0.27,1.00,0.33,0.67,0.14,0.10,0.10,0.10,0.10,0.20,0.20,0.15,0.07,0.09,0.17,0.09,0.27,0.00,0.00,0.01,0.00,0.00,0.00
4861,0.05,1.00,0.33,0.33,0.10,0.20,0.20,0.20,0.20,0.20,0.20,0.19,0.09,0.10,0.19,0.11,0.28,0.00,0.00,0.00,0.00,0.00,0.00
15199,0.03,1.00,0.33,0.67,0.09,0.20,0.20,0.20,0.20,0.10,0.10,0.18,0.10,0.11,0.19,0.08,0.29,0.00,0.00,0.01,0.00,0.09,0.00
20186,0.05,1.00,0.17,0.67,0.19,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.11,0.19,0.11,0.27,0.00,0.00,0.00,0.02,0.00,0.04
7532,0.28,0.00,0.17,0.67,0.10,0.20,0.20,0.20,0.20,0.20,0.20,0.36,0.27,0.18,0.32,0.25,0.39,0.01,0.00,0.01,0.01,0.02,0.02
25528,0.41,1.00,0.17,0.33,0.19,0.10,0.10,0.00,0.00,0.00,0.00,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
3462,0.19,0.00,0.33,0.33,0.28,0.20,0.20,0.20,0.20,0.20,0.20,0.32,0.26,0.20,0.32,0.25,0.39,0.01,0.00,0.01,0.01,0.02,0.01
13844,0.02,1.00,0.33,0.67,0.07,0.20,0.20,0.20,0.40,0.40,0.40,0.17,0.09,0.10,0.19,0.11,0.28,0.00,0.00,0.00,0.00,0.00,0.00
9727,0.11,1.00,0.33,0.67,0.21,0.20,0.20,0.20,0.20,0.20,0.20,0.25,0.18,0.15,0.27,0.20,0.35,0.01,0.00,0.01,0.01,0.01,0.01
5394,0.06,0.00,0.17,0.67,0.14,0.10,0.10,0.20,0.10,0.40,0.10,0.15,0.08,0.09,0.16,0.08,0.26,0.02,0.00,0.00,0.00,0.00,0.00
12032,0.35,0.00,0.33,0.33,0.38,0.10,0.10,0.10,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
19893,0.11,1.00,0.33,0.33,0.36,0.20,0.20,0.20,0.20,0.20,0.20,0.25,0.17,0.15,0.27,0.20,0.35,0.00,0.00,0.00,0.01,0.01,0.01
16002,0.07,1.00,0.33,0.33,0.22,0.30,0.40,0.40,0.40,0.20,0.20,0.22,0.15,0.13,0.23,0.11,0.28,0.00,0.00,0.00,0.00,0.00,0.00
22294,0.41,1.00,0.33,0.67,0.14,0.20,0.20,0.10,0.20,0.10,0.20,0.44,0.37,0.10,0.16,0.24,0.38,0.01,0.01,0.00,0.26,0.01,0.01
29866,0.28,0.00,0.33,0.67,0.16,0.40,0.40,0.20,0.20,0.20,0.40,0.39,0.27,0.19,0.35,0.21,0.36,0.00,0.01,0.01,0.03,0.00,0.01
22489,0.29,1.00,0.17,0.67,0.16,0.10,0.10,0.10,0.10,0.20,0.20,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
6974,0.29,0.00,0.33,0.33,0.17,0.10,0.10,0.10,0.10,0.10,0.10,0.16,0.08,0.09,0.17,0.09,0.27,0.02,0.01,0.02,0.02,0.03,0.03
